timestamp,energy_consumption,site_id,airTemperature,cloudCoverage,dewTemperature,precipDepth1HR,precipDepth6HR,seaLvlPressure,windDirection,windSpeed,hour,day,day_of_week,month,year,is_weekend
2016-01-01 00:00:00,43.32100000000001,Hog,-7.2,8.0,-10.6,0.0,-1.0,1022.9,280.0,5.7,0,1,4,1,2016,0
2016-01-01 01:00:00,43.32100000000001,Hog,-6.7,,-10.0,-1.0,,1022.5,280.0,4.1,1,1,4,1,2016,0
2016-01-01 02:00:00,43.287,Hog,-6.7,,-9.4,0.0,,1022.1,260.0,2.6,2,1,4,1,2016,0
2016-01-01 03:00:00,41.966,Hog,-6.7,,-9.4,-1.0,,1022.0,250.0,3.6,3,1,4,1,2016,0
2016-01-01 04:00:00,47.349,Hog,-8.3,,-11.7,0.0,,1021.9,270.0,6.7,4,1,4,1,2016,0
2016-01-01 05:00:00,60.07,Hog,-8.3,,-11.7,0.0,,1021.3,250.0,3.6,5,1,4,1,2016,0
2016-01-01 06:00:00,64.833,Hog,-8.9,6.0,-12.2,0.0,0.0,1020.3,220.0,5.1,6,1,4,1,2016,0
2016-01-01 07:00:00,62.559,Hog,-9.4,,-11.7,0.0,,1019.5,220.0,3.6,7,1,4,1,2016,0
2016-01-01 08:00:00,64.525,Hog,-8.9,,-11.7,0.0,,1019.4,220.0,2.1,8,1,4,1,2016,0
2016-01-01 09:00:00,55.837,Hog,-8.3,,-11.1,0.0,,1018.9,230.0,3.6,9,1,4,1,2016,0
2016-01-01 10:00:00,52.648,Hog,-6.7,,-10.6,0.0,,1017.9,230.0,6.2,10,1,4,1,2016,0
2016-01-01 11:00:00,48.139,Hog,-5.6,,-10.0,0.0,,1017.4,240.0,6.2,11,1,4,1,2016,0
2016-01-01 12:00:00,47.652,Hog,-2.8,2.0,-8.9,0.0,,1017.1,250.0,5.1,12,1,4,1,2016,0
2016-01-01 13:00:00,42.303,Hog,-1.7,0.0,-8.3,0.0,,1016.0,270.0,5.7,13,1,4,1,2016,0
2016-01-01 14:00:00,44.173,Hog,-1.1,0.0,-7.8,0.0,,1015.8,290.0,7.7,14,1,4,1,2016,0
2016-01-01 15:00:00,42.525,Hog,-1.1,0.0,-7.8,0.0,,1016.4,280.0,5.7,15,1,4,1,2016,0
2016-01-01 16:00:00,45.76600000000001,Hog,-1.7,0.0,-8.3,0.0,,1017.7,300.0,7.2,16,1,4,1,2016,0
2016-01-01 17:00:00,59.904,Hog,-2.8,0.0,-8.3,0.0,,1018.3,290.0,4.6,17,1,4,1,2016,0
2016-01-01 18:00:00,62.165,Hog,-3.3,0.0,-8.3,0.0,,1019.2,270.0,4.1,18,1,4,1,2016,0
